strategy,tv_symbol,date,db_equity,existing_close,forensic_close,diff,diff_pct
QQQ_Trend_Intraday,QQQT,2026-04-21,21625.51,21625.51,21625.51,0.0,0.0
SPXL_2Point_safe,SPXP,2026-03-23,19537.96011,19537.96011,19537.96011,0.0,0.0
SPXL_2Point_safe,SPXP,2026-03-24,19537.96011,19537.96011,19537.96011,0.0,0.0
SPXL_2Point_safe,SPXP,2026-03-25,20076.52130553479,20076.52130553479,20076.52130553479,0.0,0.0
SPXL_2Point_safe,SPXP,2026-03-26,19291.398118548703,19291.398118548703,19291.398118548703,0.0,0.0
SPXL_2Point_safe,SPXP,2026-03-27,18499.698334416622,18499.698334416626,18499.698334416622,-3.637978807091713e-12,-1.9665070972123145e-14
SPXL_2Point_safe,SPXP,2026-03-30,19030.130109999995,19030.130109999995,19030.130109999995,0.0,0.0
SPXL_2Point_safe,SPXP,2026-03-31,19521.700109999994,19543.750109999997,19521.700109999994,-22.05000000000291,-0.11282379213762325
SPXL_2Point_safe,SPXP,2026-04-01,19977.40010999999,20001.550109999996,19977.40010999999,-24.150000000005093,-0.12074064193620189
SPXL_2Point_safe,SPXP,2026-04-02,20020.450109999994,19998.400109999995,20020.450109999994,22.049999999999272,0.11025882009918081
SPXL_2Point_safe,SPXP,2026-04-06,20284.000109999994,20247.250109999997,20284.000109999994,36.74999999999636,0.18150612947605044
SPXL_2Point_safe,SPXP,2026-04-07,20256.220508796767,20256.220508796767,20256.220508796767,0.0,0.0
SPXL_2Point_safe,SPXP,2026-04-08,21751.54937407436,21751.54937407436,21751.54937407436,0.0,0.0
SPXL_2Point_safe,SPXP,2026-04-09,22088.2,22088.2,22088.2,0.0,0.0
SPXL_2Point_safe,SPXP,2026-04-10,21980.04,21956.12,21980.04,23.92000000000189,0.10894456761942406
SPXL_2Point_safe,SPXP,2026-04-13,22335.72,22619.64038085937,22335.72,-283.9203808593702,-1.2551940529506482
SPXL_2Point_safe,SPXP,2026-04-14,23435.0,23384.04,23435.0,50.95999999999913,0.21792641476835964
SPXL_2Point_safe,SPXP,2026-04-15,23971.640380859375,23925.88,23971.640380859375,45.76038085937398,0.19125892489377183
SPXL_2Point_safe,SPXP,2026-04-16,24142.2,24139.08,24142.2,3.1199999999989814,0.012925099050995238
SPXL_2Point_safe,SPXP,2026-04-17,24993.96,25033.48,24993.96,-39.52000000000044,-0.15786858239445908
SPXL_2Point_safe,SPXP,2026-04-20,24819.0,24819.0,24819.0,0.0,0.0
SPXL_2Point_safe,SPXP,2026-04-21,24819.0,24819.0,24819.0,0.0,0.0
SPXL_CV_Intraday,SPXC,2026-03-23,19424.101300000002,19424.1013,19424.101300000002,3.637978807091713e-12,1.8729200135975984e-14
SPXL_CV_Intraday,SPXC,2026-03-24,19424.101300000002,19424.1013,19424.101300000002,3.637978807091713e-12,1.8729200135975984e-14
SPXL_CV_Intraday,SPXC,2026-03-25,19252.101422070315,19282.101727246096,19252.101422070315,-30.00030517578125,-0.15558628203579106
SPXL_CV_Intraday,SPXC,2026-03-26,18385.802986748735,18385.80298674873,18385.802986748735,3.637978807091713e-12,1.9786891057810893e-14
SPXL_CV_Intraday,SPXC,2026-03-27,17672.996425433546,17672.996425433546,17672.996425433546,0.0,0.0
SPXL_CV_Intraday,SPXC,2026-03-30,17666.56,17666.56,17666.56,0.0,0.0
SPXL_CV_Intraday,SPXC,2026-03-31,18332.830000000005,18353.620000000003,18332.830000000005,-20.789999999997235,-0.11327465644378183
SPXL_CV_Intraday,SPXC,2026-04-01,18761.989999999998,18784.76,18761.989999999998,-22.770000000000437,-0.12121528302730744
SPXL_CV_Intraday,SPXC,2026-04-02,18802.58,18781.79,18802.58,20.790000000000873,0.11069232485296063
SPXL_CV_Intraday,SPXC,2026-04-06,19051.07,19016.42,19051.07,34.650000000001455,0.18221095242953964
SPXL_CV_Intraday,SPXC,2026-04-07,19125.31601217523,19125.31601217523,19125.31601217523,0.0,0.0
SPXL_CV_Intraday,SPXC,2026-04-08,20645.618208131466,20645.618208131466,20645.618208131466,0.0,0.0
SPXL_CV_Intraday,SPXC,2026-04-09,21075.869999999995,21075.869999999995,21075.869999999995,0.0,0.0
SPXL_CV_Intraday,SPXC,2026-04-10,20972.909999999996,20950.14,20972.909999999996,22.7699999999968,0.10868662452850816
SPXL_CV_Intraday,SPXC,2026-04-13,,21581.760362548823,,,
SPXL_CV_Intraday,SPXC,2026-04-14,22357.92,22309.41,22357.92,48.5099999999984,0.21744187766506778
SPXL_CV_Intraday,SPXC,2026-04-15,22868.760362548826,22825.2,22868.760362548826,43.56036254882565,0.19084328964839586
SPXL_CV_Intraday,SPXC,2026-04-16,23031.12,23028.15,23031.12,2.969999999997526,0.012897258355523678
SPXL_CV_Intraday,SPXC,2026-04-17,23841.93,23879.55,23841.93,-37.61999999999898,-0.15754065717318366
